seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr19	56988896	56989672	777	*	X467	63934	56950693	56988770	38078	-	125	upstream	125	ZNF667
chr19	57018788	57018819	32	*	X468	57573	57019212	57040269	21058	+	392	upstream	392	ZNF471
chr19	57018850	57018989	140	*	X469	57573	57019212	57040269	21058	+	222	upstream	222	ZNF471
chr19	57019056	57019110	55	*	X470	57573	57019212	57040269	21058	+	101	upstream	101	ZNF471
chr19	57019124	57019156	33	*	X471	57573	57019212	57040269	21058	+	55	upstream	55	ZNF471
chr19	57019183	57019202	20	*	X472	57573	57019212	57040269	21058	+	9	upstream	9	ZNF471
chr19	57019225	57019245	21	*	X473	57573	57019212	57040269	21058	+	0	inside	12	ZNF471
chr19	57019288	57019334	47	*	X474	57573	57019212	57040269	21058	+	0	inside	75	ZNF471
chr19	57019404	57019414	11	*	X475	57573	57019212	57040269	21058	+	0	inside	191	ZNF471
chr19	57049620	57049761	142	*	X476	140612	57050317	57068170	17854	+	555	upstream	555	ZFP28
chr20	26188997	26189341	345	*	X484	724033	26188822	26188914	93	-	82	upstream	82	MIR663A
chr20	45088079	45088109	31	*	X494	100130934	45085132	45086282	1151	-	1796	upstream	1796	ZNF663P
chr21	39601218	39601557	340	*	X521	3772	39601837	39673746	71910	+	279	upstream	279	KCNJ15
